company_name,ticker,naics,gvkey
ENVIRONMENTAL TECTONICS CORP,ETCC,336413,4415
ENZO BIOCHEM INC,ENZ,621511,4418
EQUIFAX INC,EFX,561450,4423
EQT CORP,EQT,2111,4430
TELEFONAKTIEBOLAGET LM ERICS,ERIC,334220,4439
ESCALADE INC,ESCA,339920,4448
ESPEY MFG & ELECTRONICS CORP,ESP,334419,4450
ESTERLINE TECHNOLOGIES CORP,ESL,334511,4460
NEWMARKET CORP,NEU,325180,4462
EVANS & SUTHERLAND CMP CORP,ESCC,334419,4467
KINGSTONE COS INC,KINS,524126,4485
KINGSTONE COS INC,KINS,524126,4485
EXPEDITORS INTL WASH INC,EXPD,488510,4494
DMC GLOBAL INC,BOOM,333132,4497
INSTEEL INDUSTRIES,IIIN,332618,4498
EXXON MOBIL CORP,XOM,324110,4503
FMC CORP,FMC,325320,4510
NEXTERA ENERGY INC,NEE,22111,4517
FARMER BROTHERS CO,FARM,311920,4579
FEDEX CORP,FDX,492110,4598
RUSSEL METALS INC,RUSMF,423510,4599
FEDERAL NATIONAL MORTGA ASSN,FNMA,522294,4601
FEDERAL NATIONAL MORTGA ASSN,FNMA,522294,4601
FEDERAL REALTY INVESTMENT TR,FRT,531120,4605
FEDERAL REALTY INVESTMENT TR,FRT,531120,4605
FEDERAL SCREW WORKS,FSCR,332722,4607
FEDERAL SIGNAL CORP,FSS,336120,4608
MACY'S INC,M,452210,4611
FERRO CORP,FOE,325510,4622
CALADRIUS BIOSCIENCES INC,CLBS,325414,4632
FIFTH THIRD BANCORP,FITB,522110,4640
FIFTH THIRD BANCORP,FITB,522110,4640
FINNING INTERNATIONAL INC,FINGF,423810,4669
REGIONS FINANCIAL CORP,RF,522110,4674
REGIONS FINANCIAL CORP,RF,522110,4674
TRUSTMARK CORP,TRMK,522110,4685
TRUSTMARK CORP,TRMK,522110,4685
FIRST CITIZENS BANCSH  -CL A,FCNCA,522110,4690
FIRST CITIZENS BANCSH  -CL A,FCNCA,522110,4690
FCCC INC,FCIC,999990,4695
M & T BANK CORP,MTB,522110,4699
M & T BANK CORP,MTB,522110,4699
FIRST HARTFORD CORP,FHRT,5311,4707
U S BANCORP,USB,522110,4723
U S BANCORP,USB,522110,4723
FIRST HORIZON NATIONAL CORP,FHN,522110,4737
FIRST HORIZON NATIONAL CORP,FHN,522110,4737
FLANIGANS ENTERPRISES INC,BDL,722511,4759
MAGELLAN AEROSPACE CORP,MALJF,336413,4763
FLEXSTEEL INDUSTRIES INC,FLXS,337121,4771
FLORIDA POWER & LIGHT CO,FPL1,2211,4798
DUKE ENERGY FLORIDA INC,DUK9,2211,4799
FLOWERS FOODS INC,FLO,311812,4809
FLUOR CORP,FLR,237990,4818
FONAR CORP,FONR,621512,4826
