company_name,company_id
BARNES GROUP,2175
PETERSON SPRING,2176
MELLANOX TECHNOLOGIES,2177
SEAGATE,2178
KOLEKTOR,2179
A. SCHULMAN,2184
LENOVO,2185
AMAZON WEB SERVICES,2187
FINISAR,2188
SYMANTEC,2192
ACUMENT,2193
ATI TECHNOLOGY,2196
PANDUIT,2198
FUTURE ELECTRONICS,2200
SANDISK,2203
PPG INDUSTRIES,2205
L COM,2206
FANUC,2207
NHK,2209
DYNACAST,2211
HANKOOK TIRE,2214
WIRTHWEIN AG,2216
OMRON,2219
GENERAL MOTORS,2220
GRAND RAPIDS CONTROLS,2223
BENECKE KALIKO,2226
NDK,2228
RHEINMETALL,2230
AUTOLIV,2231
IRISO ELECTRONICS,2232
OSRAM,2233
BOURNS,2241
MERIDIAN AUTOMOTIVE,2245
LUMBERG,2249
KAMAX,2250
NETAPP PARTNER,2251
PETOSKEY PLASTICS,2252
TOWER AUTOMOTIVE,2253
CD WAELZHOLZ,2254
GENTHERM,2256
WPP,2261
MTI,2263
DAYCO,2265
PENSKE,2266
SEALCON,2269
ISSI,2270
UNIQUE FABRICATING,2271
CGR,2272
APPLE INC,2273
HARMAN INTERNATIONAL INDUSTRIES,2277
C & U AMERICAS,2279
SUPERMICRO,2280
RED HAT,2282
HITACHI DATA SYSTEMS,2283
NUANCE COMMUNICATIONS,2285
CHECK POINT SOFTWARE,2286
NEMAK,2287
MAZDA,2289
CONTINENTAL MIDLAND,2294
HUNTSMAN,2296
HID GLOBAL,2297
GLOBAL ENTERPRISES,2298
A NOVO,2299
AUTOMATIC SPRING PRODUCTS,2300
A RAYMOND,2301
TTM TECHNOLOGIES,2302
NOVELLUS SYSTEMS,2306
EMERY OLEOCHEMICALS,2308
BAE INDUSTRIES,2324
EXCO TECHNOLOGIES,2327
GNS,2328
NOVA CHEMICALS,2331
JANESVILLE ACOUSTICS,2332
RCO ENGINEERING,2333
DAKKOTA INTEGRATED SYSTEMS,2334
INTERTEK,2335
JX NIPPON MINING & METALS,2336
LAWRENCE PLASTICS,2337
CONNECTICUT SPRING & STAMPING,2340
COLONIAL PLASTICS,2342
COASTAL AUTOMOTIVE,2343
LEAR AUTOMOTIVE,2344
COLONIAL DIVERSIFIED POLYMER,2345
MECAPLAST,2347
CREATION TECHNOLOGIES,2349
ORCHID INTERNATIONAL,2350
DELTA PACIFIC PRODUCTS,2352
DENSO,2353
PEER BEARING,2355
PERIDOT,2357
AUTONEUM,2360
AVM INDUSTRIES,2361
BAOLONG,2362
PARAGON AG,2364
CTA ACOUSTICS,2366
PEUGEOT,2367
AUSTEM,2368
AUTO-KABEL,2369
TEKNIA,2370
FLIR SYSTEMS,2373
SAAB,2375
GENTEX,2376
SAM SHIN CHEMICAL,2379
AXALTA,2380
KWANGJIN,2381
GUANGDONG HONGTU TECHNOLOGY,2383
GRAND TRAVERSE PLASTICS,2384
MNP CORPORATION,2385
HENGST,2386
MANDO CORPORATION,2387
SHANNON PRECISION FASTENER,2391
PREH HOLDING,2392
EMS GROUP,2395
AGM AUTOMOTIVE,2396
CITRIX SYSTEMS,2397
CLOYES,2399
SUMMIT POLYMERS,2401
ATTENTIVE INDUSTRIES,2403
AMERICAN AXLE & MANUFACTURING,2406
DONG YANG PISTON,2407
BHARAT FORGE,2408
FLEX N GATE,2412
JATCO,2414
LINAMAR,2415
NYX,2416
DELFINGEN,2419
PRIDE INDUSTRIES,2425
YASUNAGA,2426
SL CORP,2427
US FARATHANE,2428
STANADYNE,2429
PRECISION INTERNATIONAL,2430
MANN & HUMMEL,2434
ILJIN GLOBAL,2435
MACLEAN-FOGG,2437
PRODUCTION SPRING,2438
DAJACO,2441
DECKER MANUFACTURING,2443
DEE ZEE,2444
DAIMAY,2445
CUSTOMIZED MANUFACTURING & ASSEMBLY,2450
POSCO,2457
POLYMATECH,2461
NORMA,2463
HOPE GLOBAL,2464
DRAXLMAIER GROUP,2467
ROYAL TECHNOLOGIES CORP,2468
GENERAL MOTORS 5356613,2469
TR FASTENINGS,2470
KOSTAL 340852585,2472
GEBR. KEMMERICH,2473
WOODBRIDGE FOAM,2474
TERUMO,2476
VESTA,2483
IMERYS,2486
SGD,2489
LANDSBERG,2512
UMICORE,2524
FOAM COMPANY,2529
TANAKA KIKINZOKU,2533
JOST CHEMICAL,2537
GLANBIA NUTRITIONALS,2538
LITHOFLEXO,2542
RR DONNELLEY,2545
CHARLES BOWMAN AND CO,2548
FLEXPAK INC,2549
ROTATIONAL MOLDING OF UTAH,2550
LOBO CONTAINERS,2551
HAWKINS,2553
ONE SOURCE BIOPHARMA,2554
RICHARD BARTON ENTERPRISE,2555
SHANCO INTERNATIONAL,2556
CDF CORP,2557
